,Song,clusters
3132,All The Right Moves,17
3133,Hound Dog,11
3134,Who Will You Run To,1
3135,I Get Lonely,12
3136,Birthday,7
3137,Heaven Must Have Sent You,0
3138,This Time,5
3139,Sexual Eruption,8
3140,Hot Pastrami,19
3141,Danger (Been So Long) featuring Nivea,7
3142,You Shouldn't Kiss Me Like This,17
3143,If You Want Me to Stay,16
3144,Eternal Flame,13
3145,Savage Love,7
3146,Father,17
3147,Astronaut In The Ocean,5
3148,The Way You Do The Things You Do,17
3149,WAP (feat. Megan Thee Stallion),9
3150,I Was Made To Love Her,6
3151,Hot In Herre,4
3152,Strip That Down (feat. Quavo),9
3153,A Rockin' Good Way (To Mess Around And Fall In Love),6
3154,The Candy Man,12
3155,Hot Fun in the Summertime,16
3156,With Arms Wide Open,17
3157,The Three Bells,9
3158,I'll Be Your Shelter (In the Style of Taylor Dayne) - Karaoke Version,7
3159,Milkshake - Radio Mix,12
3160,Still Fly,17
3161,Feels like the First Time - 2008 Remaster,13
3162,I Like It,19
3163,T-Shirt,19
3164,Gangnam Style (강남스타일),17
3165,Needles and Pins - Mono,10
3166,7 rings,5
3167,"What Is Love - 7"" Mix",12
3168,Raindrops,11
3169,Shapes of Things - 2015 Remaster,4
3170,Glory of Love,0
3171,Rainy Dayz,4
3172,Lookin' Out My Back Door,16
3173,This Love,2
3174,Romantic,2
3175,Ooh Baby Baby - 1999 Remaster,1
3176,Hung Up,12
3177,Case Of The Ex (Whatcha Gonna Do),17
3178,If I Loved You,10
3179,Whatcha See Is Whatcha Get,8
3180,So Much in Love,17
3181,Slow Ride - Edit,1
3182,Can't Fight The Moonlight,0
3183,Shy Guy,2
3184,Paper Planes,7
3185,Party Lights,2
3186,Elusive Butterfly,17
3187,It's Not Unusual,10
3188,Don't You Wanna Stay (with Kelly Clarkson),9
3189,Any Day Now,10
3190,Mercedes Boy,12
3191,Numb,0
3192,Nobody Does It Better,8
3193,Who Am I (What’s My Name)?,7
3194,Music of My Heart (Karaoke Version) - Originally Performed By N Sync & Gloria Estefan,19
3195,My Life,18
3196,Face Down,17
3197,Lady (You Bring Me Up),1
3198,"Flex (Ooh, Ooh, Ooh)",5
3199,Godzilla,5
3200,Hey Mama - Originally Performed By Black Eyed Peas,9
3201,I'll Be Doggone - Second Version,7
3202,Bye Bye Love,18
3203,In Case You Didn't Know,5
3204,Found Out About You,17
3205,Stranger on the Shore,2
3206,MIDDLE CHILD,19
3207,Higher,17
3208,Mony Mony,1
3209,(If You Let Me Make Love to You Then) Why Can't I Touch You?,10
3210,i'm yours,7
3211,Goodies (feat. Petey Pablo),4
3212,Separate Lives (Originally Performed by Phil Collins and Marilyn Martin) [Karaoke Version],5
3213,Baby-Baby-Baby,4
3214,The Flame,1
3215,Only Sixteen,10
3216,Abilene,16
3217,Just a Song Before I Go,18
3218,Shiny Happy People,2
3219,Respect,11
3220,1st of Tha Month,0
3221,Anywhere,2
3222,Switch,17
3223,The First Time,0
3224,How Soon,2
3225,One of a Kind (Love Affair),11
3226,Wait,5
3227,Rock Yo Hips (feat. Lil Scrappy) - Main,5
3228,Look At Me!,19
3229,See You Again,19
3230,C'mon N' Ride It (The Train) - Radio Edit,3
3231,Twilight Zone,7
3232,Marianne,16
3233,The A Team,9
3234,You Are The Sunshine Of My Life,16
3235,I Ain't Worried,5
3236,"You've Made Me so Very Happy (Originally Performed by Blood, Sweat & Tears) [Karaoke Version]",7
3237,Saving Forever for You,0
3238,Streets,9
3239,You Showed Me,18
3240,Just Lose It,12
3241,Dangerous,16
3242,Another One Bites The Dust - Remastered 2011,0
3243,You Don't Know Me,2
3244,Donna - Single Version,10
3245,Too Close,5
3246,Forever And Ever,7
3247,Rolling in the Deep,19
3248,With You I'm Born Again,10
3249,Hey Daddy (Daddy's Home),4
3250,"Little Old Man (Up Tight, Everything's Alright)",11
3251,This One's for the Children,2
3252,Chasing Cars,17
3253,Glad You Exist,9
3254,Still the One,16
3255,U Got The Look - 2020 Remaster,0
3256,Body Party,9
3257,Jump Around - 30 Years Remaster,19
3258,"Baby the Rain Must Fall - From the Columbia Film ""Baby the Rain Must Fall""",16
3259,Wake Up Everybody (feat. Teddy Pendergrass),18
3260,"Let It Go - From ""Frozen""/Soundtrack Version",17
3261,Rinky Dink,10
3262,Alone Again (Naturally),3
3263,One Last Cry,0
3264,Quit Playing Games (With My Heart),12
3265,Enchanted,17
3266,STAY (with Justin Bieber),9
3267,Rockin' Robin,10
3268,Best Thing That Ever Happened to Me,10
3269,Sometimes,8
3270,Bad and Boujee (feat. Lil Uzi Vert),19
3271,From A Jack To A King,17
3272,All The Man That I Need,12
3273,"Mercy, Mercy, Mercy - Single Version",6
3274,If You Love Me,2
3275,The All American Boy,17
3276,Life in a Northern Town,2
3277,My Love Is Your Love,12
3278,Morning Has Broken - Remastered 2021,6
3279,Story of My Life,7
3280,Believe Me,4
3281,Mrs. Officer,13
3282,Get Money,12
3283,Cracklin' Rosie - Single Version,18
3284,Times Of Your Life,11
3285,Volare,7
3286,Bandit,19
3287,2 Legit 2 Quit,17
3288,Talk To Me,5
3289,Boyfriend,17
3290,The Dickie Bird Song,19
3291,The Thrill Is Gone,6
3292,Saturday Night,2
3293,Crazy for This Girl,7
3294,Drag Me Down,9
3295,(You Don't Know) How Glad I Am,10
3296,The Hucklebuck - Remastered 1993,12
3297,I'm Your Boogie Man (Originally Performed by KC And The Sunshine Band) [Karaoke Version],9
3298,I Shot The Sheriff,17
3299,The Best Day,17
3300,You Were On My Mind,17
3301,Last Kiss,2
3302,I've Got Love on My Mind (Originally Performed by Natalie Cole) [Karaoke Version],19
3303,Gloria,2
3304,We Are Never Ever Getting Back Together (Taylor's Version),9
3305,This Ole House - Single Version,11
3306,Busted,9
3307,Be Without You - Kendu Mix,17
3308,Family Affair,7
3309,"Little Red Corvette - 7"" Edit - 2019 Remaster",9
3310,Sex & Candy,17
3311,A Bay Bay - Single Version,19
3312,Edge of Seventeen - 2016 Remaster,16
3313,Powerglide (feat. Juicy J) - From SR3MM,8
3314,Love Is a Wonderful Thing,0
3315,Issues,7
3316,I'm Your Man,16
3317,Without Me,5
3318,The Reflex - Single Version; 2010 Remaster,13
3319,DJ Got Us Fallin' In Love (feat. Pitbull),4
3320,This Is My Song,2
3321,GO (feat. Juice WRLD),19
3322,Sally Go Round The Roses,5
3323,Lost Without Your Love,10
3324,Love Story (Taylor’s Version),5
3325,I Need Your Love (feat. Ellie Goulding),7
3326,Fantastic,9
3327,Want Ads (Music From And Inspired By The Motion Picture),7
3328,What Lovers Do (feat. SZA),5
3329,Love,17
3330,AA,19
3331,Oops!...I Did It Again,2
3332,Please Don't Go (Karaoke in the style of KWS),3
3333,Dear Future Husband,5
3334,Hide Away,9
3335,Hey Girl,5
3336,Down By The Lazy River,11
3337,Make Me Better,8
3338,He’ll Have to Go - Melody Ranch Live Version,5
3339,How Do You Sleep?,19
3340,Maria Elena,16
3341,5 O'Clock (feat. Lily Allen & Wiz Khalifa),13
3342,Achy Breaky Heart,2
3343,Say Aah (feat. Fabolous),4
3344,Wildest Dreams (Taylor's Version),9
3345,Hrs & Hrs,7
3346,Damn! (feat. Lil' Jon) - Club Mix,4
3347,MyBabyDaddy,12
3348,Do You Know the Way to San Jose,1
3349,Money Maker,8
3350,Heart Attack,13
3351,Please Forgive Me,13
3352,Country Girl (Shake It For Me),17
3353,"I NEED U, IN THE SUMMERTIME",9
3354,Love Lockdown,7
3355,I Wonder What She's Doing Tonight?,10
3356,Cover Girl,12
3357,"Tighten Up, Pt. 1",11
3358,Eh Cumpari,19
3359,The Way You Love Me,17
3360,Second Chance,1
3361,Arthur's Theme (Best That You Can Do),11
3362,Break My Heart,19
3363,I Love a Rainy Night,2
3364,Humble And Kind,17
3365,Pray For Me (with Kendrick Lamar),8
3366,'Til You Do Me Right,17
3367,Two Faces Have I,10
3368,More Than A Woman,2
3369,Have You Ever Needed Someone So Bad,19
3370,The Lazy Song,9
3371,Miss You - Remastered,18
3372,Bad Blood,4
3373,Clocks,12
3374,Ditty,2
3375,When I Look Into Your Eyes,0
3376,You're in Love (Originally Performed by Wilson Phillips) [Karaoke Version],5
3377,Just Walkin' in the Rain,12
3378,Let It Be - Remastered 2009,11
3379,Wild World,16
3380,Peaches,5
3381,Wonderful,17
3382,The Monkey Time,7
3383,All The Things (Your Man Won't Do),7
3384,You’ll Think Of Me,17
3385,Dragnet,17
3386,Happy-Go-Lucky-Me,16
3387,Don't Know Much (with Aaron Neville),1
3388,Stay The Same,2
3389,Wildflower,17
3390,I Remember,17
3391,Most Girls,2
3392,( What A) Wonderful World,3
3393,I Feel It Coming,7
3394,Together Again,12
3395,Party In The U.S.A.,17
3396,Go Crazy,5
3397,Outta Control - Remix,8
3398,Morning Train (Nine to Five) - Edit,1
3399,Coming Up - Remastered 2011,11
3400,As Long As You Love Me,13
3401,Sweet Mary,19
3402,Dance with Me,10
3403,I Can Dream About You,0
3404,Bang Bang - Imanos & Gramercy Remix,7
3405,Rich Girl,18
3406,White Horse (Taylor’s Version),5
3407,Unbelievable,2
3408,I Fall To Pieces - Single Version,16
3409,"Baby, You’ve Got What It Takes",17
3410,There'll Be Sad Songs (To Make You Cry) [Originally Performed by Billy Ocean] [Karaoke Version],5
3411,You’re My Best Friend - Backing Track Mix,16
3412,ROXANNE,9
3413,Brother Louie,11
3414,My Place,13
3415,Ebb Tide,11
3416,We've Got Tonight,1
3417,I’ve Never Been To Me - Rerecorded,7
3418,Songbird,6
3419,The Lover In Me,18
3420,Tonight's the Night (Gonna Be Alright) - 2009 Remaster,10
3421,The Stroll,7
3422,"(Shake, Shake, Shake) Shake Your Booty",7
3423,Doin' It,7
3424,Shine a Little Love,4
3425,"South America, Take It Away - Single Version",17
3426,Get Up (Before The Night Is Over),16
3427,Rack City,17
3428,Use ta Be My Girl - Single Version,3
3429,Everybody Plays the Fool,8
3430,Young Hearts Run Free,11
3431,Bread and Butter,7
3432,Sweater Weather,19
3433,I Wanna Love Him So Bad,5
3434,The Loco-Motion - Remastered 2002,1
3435,Check Yo Self - Remix,7
3436,My List,17
3437,I Wanna Love You,12
3438,Elastic Heart,5
3439,If This Is It,1
3440,Are You Lonesome Tonight?,2
3441,Levitating (feat. DaBaby),19
3442,She's Not Gone Yet But She's Leaving,9
3443,Jack & Diane,1
3444,Downtown,0
3445,Say So,9
3446,"Work Hard, Play Hard",9
3447,Whatever It Is,7
3448,Yes I'm Ready,8
3449,Take It Off,8
3450,I Like Dreamin',11
3451,Don't Pull Your Love,19
3452,"Walk, Don't Run - Stereo",10
3453,The Poor People Of Paris (Jean's Song),10
3454,When It Was Me,2
3455,Cream,12
3456,"When the Going Gets Tough, The Tough Get Going",4
3457,I'm Looking Over A Four Leaf Clover (Jazz Samba),17
3458,The Freshmen,0
3459,"Lay, Lady, Lay",1
3460,Poison,17
3461,Free Fallin',1
3462,My Life,8
3463,My Cherie Amour,6
3464,Bottoms Up,17
3465,"C'Mon And Get My Love (feat. Cathy Dennis) - 7"" Version",2
3466,My Eyes Adored You,11
3467,Endlessly,17
3468,LUV,7
3469,The Show Goes On,8
3470,Thriller,5
3471,2 Step,9
3472,You Say,9
3473,It's Been Awhile,0
3474,I Knew I Loved You,12
3475,I'll Be Home - Single Version,17
3476,Your Mama Don't Dance,1
3477,Talk You Out Of It,5
3478,Try Again,7
3479,(It’s Just) The Way That You Love Me - Single Version,17
3480,Price of Love,2
3481,Livin' Thing,18
3482,Set U Free,2
3483,This Is What You Came For,4
3484,Tom's Diner,19
3485,All I Want for Christmas Is You,7
3486,Kryptonite,7
3487,My Baby,3
3488,We Gotta Get Out Of This Place - UK Single Version,6
3489,Because Of You,17
3490,Hold Me Tight,7
3491,Blessings,4
3492,Shower,19
3493,"Bills, Bills, Bills",3
3494,Twistin' Matilda (and the Channel),5
3495,You Make Me Feel Like Dancing - Remastered,11
3496,Let My Love Open The Door,4
3497,Carry On,19
3498,Sherry,6
3499,Take A Message To Mary,18
3500,Sweet Violets,2
3501,"Easy Come, Easy Go",9
3502,Rock Me Gently,17
3503,Why Can't This Be Love,0
3504,Kissin' You,0
3505,I Will Follow Him (Chariot),12
3506,You Got What It Takes,10
3507,The Good Stuff,17
3508,My All,13
3509,Daisy A Day,10
3510,(Put Another Nickel In) Music! Music! Music!,17
3511,Baby Shark,7
3512,El Perdón (with Enrique Iglesias),19
3513,Habits (Stay High),17
3514,Gravy (For My Mashed Potatoes),10
3515,(Sweet Sweet Baby) Since You've Been Gone,11
3516,Starships,17
3517,Don't Mind - Originally performed by Kent Jones,19
3518,Love Will Turn You Around,0
3519,Saturday in the Park - 2002 Remaster,18
3520,You May Be Right,1
3521,Love You Down - Extended Remix,16
3522,Love On The Brain,19
3523,Who Dat,17
3524,In Too Deep - 2007 Remaster,18
3525,Whataya Want from Me,7
3526,Daughters,12
3527,Oochie Wally - Remix,7
3528,Thank God I'm a Country Boy,11
3529,Sunshine On My Shoulders,1
3530,Tell Him No,9
3531,Stay In My Corner,10
3532,No More (Baby I'ma Do Right),12
3533,Steal Away - Remastered,6
3534,Me and Mrs. Jones,16
3535,Take You There,5
3536,I Ain't Gonna Stand For It,16
3537,Pop That Thang,16
3538,Hot (feat. Gunna),9
3539,Jive Talkin',6
3540,Let Her Go,7
3541,Waves - Robin Schulz Remix,13
3542,Smoky Places - Remastered,19
3543,Nite and Day,0
3544,Knee Deep (feat. Jimmy Buffett),7
3545,It Only Takes A Minute,6
3546,I Love It (feat. Charli XCX),7
3547,Climax,13
3548,Tammy,17
3549,Annie's Song,11
3550,BOP,7
3551,This Old Heart Of Mine (Is Weak For You),11
3552,Heaven,12
3553,Jungle Fever,17
3554,Let It Be Me,8
3555,Reflections,11
3556,"Fastlove, Pt. 1",2
3557,Who's Sorry Now,2
3558,The Other Woman,6
3559,Truth Is,7
3560,Arizona,10
3561,Meant to Be (feat. Florida Georgia Line),9
3562,Diamonds,8
3563,Hold the Line,18
3564,You Don't Have To Say You Love Me,6
3565,Umbrella (Sped Up),9
3566,Where Have All the Cowboys Gone?,2
3567,Funny Way Of Laughing,7
3568,Photograph,0
3569,Turn Me Loose,6
3570,A Walk In The Black Forest,11
3571,Homesick,9
3572,So Emotional,2
3573,Excuse Me Miss,12
3574,All This Love,0
3575,Secret,7
3576,Sweet Freedom,17
3577,Friend Of Mine - Remix,8
3578,Enemy (with JID) - from the series Arcane League of Legends,9
3579,I Do Love You,2
3580,Only The Lonely - Remastered 1999,5
3581,Lost Without U,8
3582,Highway Don't Care,17
3583,"It Must Have Been Love - From the Film ""Pretty Woman""",0
3584,Wants & Needs,19
3585,Paradise,7
3586,Stomp! - Single Version,8
3587,My Life Would Suck Without You,8
3588,You Should Be Mine (Don't Waste Your Time),8
3589,I Saw Her Standing There - Remastered 2009,11
3590,Mighty Love,11
3591,Hey Deanie,6
3592,Rock Your Baby,7
3593,Why You Wanna,4
3594,"The Theme from ""A Summer Place""",2
3595,Dead Man's Curve,8
3596,Daddy's Home,10
3597,Hey Ma,8
3598,Midnight Confessions,1
3599,Only Yesterday,5
3600,Take Good Care Of My Baby,10
3601,The Jolly Green Giant (Re-Recording),17
3602,"Nuthin' But A ""G"" Thang",12
3603,"Don't Knock My Love, Pt. 1",19
3604,Butta Love,7
3605,Him,10
3606,Miss You Much,16
3607,Can’t Buy Me Love - Acoustic Cover,9
3608,I'm Easy (Originally Performed by Keith Carradine) [Karaoke Version],5
3609,Scars To Your Beautiful,9
3610,Tití Me Preguntó,5
3611,Love Is A Many-Splendored Thing,7
3612,She's Out of My Life - Single Version,6
3613,Disco Duck - Pt. 1 Vocal,10
3614,Work It,13
3615,Chuck E's in Love - 45 Version,2
3616,Morning Side Of The Mountain,6
3617,The Boys Of Summer,1
3618,If I Die Young,17
3619,To Love Somebody,7
3620,Classical Gas,10
3621,Boo'd Up,19
3622,Mama Can't Buy You Love,17
3623,This Kiss,2
3624,Change Clothes,12
3625,The Purple People Eater,17
3626,Ooh Aah...Just a Little Bit - Motiv8 Radio Edit,0
3627,Green Grass - Remastered,17
3628,Love of a Lifetime,12
3629,I'm in Love Again (Originally Performed by Fats Domino) [Karaoke Version],9
3630,bury a friend,19
3631,Going Bad (feat. Drake),7
3632,You And I,0
3633,Doin' What Comes Natur'lly,2
3634,I'm Leaving It All Up To You,19
3635,Groovy Situation - Single Version,17
3636,Exodus,17
3637,Can't Remember to Forget You (feat. Rihanna),5
3638,Stop Draggin' My Heart Around (with Tom Petty and The Heartbreakers) - 2016 Remaster,4
3639,I Dig Rock and Roll Music,16
3640,Airplanes (feat. Hayley Williams of Paramore),19
3641,Fool (If You Think It's Over),6
3642,Cry for Help - Single Edit,7
3643,Dazz - Single Version,11
3644,Poor Little Fool - Remastered,6
3645,Misery,2
3646,And Our Feelings,7
3647,Sugar Sugar,6
3648,Just a Friend,5
3649,Oh! My Pa-Pa (O Mein Papa) - 2001 Remastered,2
3650,I Belong To You (Every Time I See Your Face),17
3651,Armageddon It - Remastered 2017,18
3652,Soak Up The Sun,2
3653,The Boss,0
3654,The Beat Goes On,18
3655,Ride,5
3656,You Sang To Me,7
3657,Wild One,19
3658,I Cry,19
3659,Boyfriend,5
3660,IDGAF,5
3661,willow,9
3662,Oh Carolina/We’ll Be Together (with Shaggy) - Live,7
3663,You're Makin' Me High,0
3664,Jump - 2015 Remaster,10
3665,Hello,7
3666,New York Groove,10
3667,How We Do (As Made Famous By The Game Featuring. 50 Cent),19
3668,Suga Suga,8
3669,U.N.I.T.Y.,12
3670,The Power of Love,12
3671,One Of Them Girls,7
3672,Sandy,5
3673,Go the Distance,12
3674,Take Me Home Tonight,18
3675,Money Maker,8
3676,Bop Gun (One Nation) - Radio Edit,13
3677,Caught Up In You,1
3678,Someday,2
3679,Endless Love (As Made Famous by Mariah Carey and Luther Vandross),9
3680,That's the Way (I Like It) - 2004 Remaster,18
3681,Overnight Celebrity,0
3682,Blinded By The Light,3
3683,Guitar Boogie Shuffle,17
3684,Teen Beat,10
3685,Break It Off - Bonus,9
3686,I Hate This Part,7
3687,ily (i love you baby) (feat. Emilee),7
3688,Give Me That,2
3689,Take Five,6
3690,Far Away,7
3691,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",0
3692,It's Time To Cry,0
3693,Feel Good Inc.,19
3694,Sara Smile,18
3695,"See You Later, Alligator",10
3696,Have You Ever,4
3697,One Of Us,17
3698,Blueberry Hill,10
3699,Teenage Dream,17
3700,You Should Be Dancing,10
3701,Laffy Taffy,9
3702,I Want You Back,16
3703,Budapest,19
3704,With Every Beat of My Heart,12
3705,"That Sunday, That Summer",10
3706,Can't Stop the Feeling (Karaoke Version) [Originally Performed By Justin Timberlake],5
3707,You Make It Easy,5
3708,U and Dat (feat. T. Pain & Kandi Girl),4
3709,Just Walkin' in the Rain,12
3710,I Can't Dance - 2007 Remaster,13
3711,Say My Name,3
3712,Just Like Me,1
3713,Animals - Radio Edit,9
3714,"Baby, Baby",2
3715,I Won't Give Up,5
3716,Get Used to It,11
3717,Red Red Wine,2
3718,Mockingbird (In the Style of Carly Simon and James Taylor) [Karaoke Version],5
3719,Big Bad John,11
3720,Castle on the Hill,5
3721,All This Time,17
3722,Someone You Loved,5
3723,HUMBLE.,5
3724,Travelin' Band,16
3725,Standing On the Corner,11
3726,Unpretty,4
3727,She Hates Me,7
3728,All Cried Out (feat. 112) - Behind the scenes Video,2
3729,Red Roses For a Blue Lady,7
3730,Cool Kids,9
3731,I Want to Know What Love Is - 1999 Remaster,18
3732,Our Song,7
3733,Searchin',17
3734,Cold (feat. Future),5
3735,Everything Your Heart Desires,4
3736,Best Friend,8
3737,This Time I Know It's for Real,0
3738,Nikita,12
3739,My Boy Lollipop,17
3740,Trouble With A Heartbreak,19
3741,You Beat Me To The Punch,11
3742,I Don't Wanna Fight,2
3743,Feudin' And Fightin',9
3744,Shop Around,10
3745,One Wish,9
3746,Tiimmy Turner,7
3747,Side To Side,19
3748,South Side,2
3749,Mashed Potato Time,10
3750,Tryin' to Get the Feeling Again,11
3751,I Know,7
3752,Don't Walk Away (Originally Performed by Jade) [Karaoke Version],19
3753,Bartender,7
3754,Black and Yellow,19
3755,Have You Seen Her,0
3756,Mockingbird,12
3757,Fats Domino Medley - Yes It's Me I'm in Love Again / I'm Walkin' / I Want to Walk You Home / Walking to New Orleans / My Blue Heaven / Blue Monday / Blueberry Hill,19
3758,Don't Forget About Me,19
3759,Bad Blood,7
3760,Sucker,5
3761,Sittin' Up In My Room,8
3762,Wait for Me,1
3763,Blinding Lights,19
3764,All of Me,7
3765,"Baby, I Love Your Way/Freebird",12
3766,Goin' Out Of My Head/Can't Take My Eyes Off Of You - Medley / Live,17
3767,Intuition,2
3768,These Are The Times,17
3769,I'd Die Without You,0
3770,Thinking out Loud,19
3771,abcdefu,9
3772,PILLOWTALK,19
3773,Star Wars Theme/Cantina Band,10
3774,This Time I'm In It For Love,6
3775,SexyBack (feat. Timbaland),12
3776,Tom Dooley,6
3777,Third Man Theme,7
3778,Crash My Party,17
3779,Like I'm Gonna Lose You (feat. John Legend),5
3780,WHATS POPPIN,5
3781,Levitating (feat. DaBaby),19
3782,Time in a Bottle,1
3783,Yah Mo B There,10
3784,I Love You Because,6
3785,Better Than Me,17
3786,Undercover Angel,3
3787,Do Anything (feat. Niki Harris),12
3788,Good Life,17
3789,Woodstock,3
3790,This Guy/This Girl's In Love With You,7
3791,Hard Habit to Break - 2006 Remaster,1
3792,You’re Beautiful,5
3793,Hollywood Swinging,6
3794,Let The Four Winds Blow - Remastered 2002,17
3795,Jean,7
3796,Leave the Door Open,19
3797,Down Low,19
3798,Lighters,17
3799,...Baby One More Time,8
3800,The Way It Is - Karaoke,19
3801,Love Letters (Alternate Take),6
3802,Grazing In The Grass,10
3803,Green Green Grass Of Home,10
3804,Only Women Bleed,1
3805,In the Summertime,10
3806,No Guidance (feat. Drake),19
3807,Party Doll,5
3808,Town Without Pity,11
3809,Love In An Elevator - Single Version,8
3810,The Heart Wants What It Wants,17
3811,Laugh at Me - Single Version,11
3812,Hook,17
3813,Incomplete,2
3814,Fallin' in Love,7
3815,At The Hop,10
3816,Superfly,6
3817,Crying,1
3818,What You Got,17
3819,Reelin' In The Years,18
3820,Love On The Rocks,18
3821,You And Me,19
3822,Your Woman,0
3823,Hall of Fame (feat. will.i.am),9
3824,"Get On The Good Foot, Pt. 1 - Single Version",17
3825,Blame It,13
3826,Stay The Night - Featuring Hayley Williams Of Paramore,5
3827,Sad Eyes - Remastered 2002,2
3828,That's All - 2007 Remaster,18
3829,Release Me,2
3830,Moon River(Vocal Audrey Hepburn),11
3831,Lonely Teardrops,11
3832,Rhythm Section,19
3833,"Because You Loved Me (Theme from ""Up Close and Personal"")",2
3834,Whole Wide World (In the Style of A'me Lorain) - Karaoke Version,7
3835,Only Girl (In The World),8
3836,Mine,7
3837,Written in the Stars (feat. Eric Turner),19
3838,Heartbreaker,4
3839,He's the Greatest Dancer - 1995 Remaster,11
3840,See the Funny Little Clown,7
3841,Why Can't We Live Together,7
3842,Sharing The Night Together,11
3843,Drop It Like It's Hot,8
3844,The Glow Worm - Single Version,17
3845,For Your Love - 2015 Remaster,18
3846,Just Can’t Get Enough,17
3847,If It Makes You Happy,17
3848,Hymn for the Weekend,9
3849,Cool,7
3850,Your Love Is My Drug,8
3851,I've Got a Rock 'n' Roll Heart,1
3852,One Step At a Time,7
3853,Do I Make You Proud,2
3854,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,2
3855,If I Had No Loot,17
3856,One Night in Bangkok,11
3857,Cool for the Summer,17
3858,"December, 1963 (Oh What a Night!)",11
3859,Perfect,5
3860,Let's Go All The Way,17
3861,Rockin' Robin,0
3862,Handy Man,10
3863,Hearts,10
3864,Keep Their Heads Ringin',2
3865,It's Late,10
3866,No One,9
3867,I Walk Alone (Batista),19
3868,The Arms of the One Who Loves You,2
3869,Ain't Nothing 'Bout You (Originally Performed by Brooks & Dunn) [Karaoke Version],5
3870,Wake up Little Susie,18
3871,Ain't Nothing Like the Real Thing (Originally Performed by Marvin Gaye & Tammi Terrell) [Karaoke Version],5
3872,St. George & The Dragonet,17
3873,Crazy In Love (feat. Jay-Z),4
3874,Cut It (feat. Young Dolph),7
3875,One Bad Apple,6
3876,Never Can Say Goodbye,11
3877,MacArthur Park - Single Version,18
3878,See You Again (feat. Kali Uchis),7
3879,My Prayer,6
3880,Foolish,8
3881,The Love You Save,11
3882,The Promise Of A New Day,17
3883,'Til You Can't,9
3884,Physical - Remastered 2021,7
3885,Only The Strong Survive - Single Version,6
3886,Obsesion (No Es Amor) (feat. Baby Bash),8
3887,679 (feat. Remy Boyz),19
3888,No Promises (feat. Demi Lovato),19
3889,I Hear You Knocking,11
3890,Ghost,19
3891,Never Lie,17
3892,It's Not My Time,17
3893,Forever,4
3894,Stir Fry,19
3895,Be-Bop-A-Lula,17
3896,I Like You (A Happier Song) (with Doja Cat),5
3897,late at night,9
3898,Looking at Me,19
3899,Addicted,17
3900,Broccoli,7
3901,September,16
3902,Always On Time,8
3903,Bodak Yellow,5
3904,Rock Me Tonite,18
3905,Mercy,19
3906,The Ballroom Blitz,3
3907,Please Help Me I'm Falling,17
3908,Ring My Bell,7
3909,The Long Run - 2013 Remaster,1
3910,I Want You,9
3911,Everybody (Backstreet's Back) - Extended Version,17
3912,Why,8
3913,Standing Still,7
3914,Lonely Boy,11
3915,I Don't Fuck With You,4
3916,We Didn't Start the Fire,13
3917,They Want EFX,2
3918,The Next Episode,12
3919,I Can't Sleep Baby (If I),12
3920,Build Me Up Buttercup,10
3921,Just the Way You Are,18
3922,Would I Lie To You?,17
3923,Secret Agent Man,17
3924,Pilot of the Airwaves,11
3925,Let's Groove,12
3926,Shape of You,5
3927,Hypnotized (feat. Akon),9
3928,Come and Get Your Love - Radio Edit,0
3929,Caught Up,4
3930,I Still Can't Get Over Loving You,2
3931,Rockabye (feat. Sean Paul & Anne-Marie),7
3932,You Proof,5
3933,I Don't Know How To Love Him,17
3934,'65 Love Affair,16
3935,There It Go (The Whistle Song),17
3936,Survivor,3
3937,Native New Yorker,16
3938,Rise,6
3939,What Makes You Beautiful,19
3940,Bartender (feat. Akon),13
3941,Bristol Stomp,7
3942,"Love Somebody - from ""Hard to Hold"" - Original Soundtrack",1
3943,Take A Little Ride,9
3944,Bossy Featuring Too $hort (feat. Too $hort),7
3945,Across The Alley From The Alamo,17
3946,Time After Time,17
3947,This Is America,5
3948,Reach Out I'll Be There,6
3949,Ride Like the Wind,16
3950,"Hush, Hush, Sweet Charlotte",16
3951,Psychotic Reaction,10
3952,CoCo,9
3953,Life After You,2
3954,Stand by Me,16
3955,Back & Forth,0
3956,"Baby, I'm For Real",10
3957,Runaway Train (2022 Remaster),12
3958,This House,17
3959,What About Us (Remix) [feat. Black Rob],7
3960,Western Union,17
3961,Take My Name,19
3962,Witch Doctor,9
3963,Shotgun,10
3964,Emotional Rescue - Remastered 2009,0
3965,Move Bitch,8
3966,Mission Bell - Original Gusto Recordings,11
3967,Gitarzan - 1969 #8 Billboard chart hit Monument,11
3968,Unholy,5
3969,Pullin' Me Back,8
3970,Somebody's Baby,8
3971,On Our Own,2
3972,It's Five O'Clock Somewhere (with Jimmy Buffett),2
3973,Cradle of Love,6
3974,"Somewhere, My Love (Lara's Theme from ""Doctor Zhivago"")",11
3975,Hit 'Em Up Style (Oops!),0
3976,Rebel Rouser,16
3977,Hooked on a Feeling - Rerecorded,8
3978,You Keep Me Hangin' On,5
3979,Islands in the Stream,7
3980,Come & Go (with Marshmello),9
3981,Walk This Way (feat. Aerosmith),1
3982,Mentirosa,17
3983,You Don't Know How It Feels,13
3984,Work It,13
3985,True Colors,12
3986,Don't Throw Your Love Away (Karaoke in the style of The Searchers),3
