,Song,clusters
306,Hate Me,17
307,Dance Ballerina Dance,6
308,Roses,8
309,The Sweetest Days,17
310,She's so High,0
311,My Way (feat. Monty),7
312,Hold Your Head Up,11
313,Dynamite,7
314,ABC,11
315,Just Kickin' It,12
316,O,4
317,All Time Low,5
318,(You’re My) Soul & Inspiration,17
319,Something Just Like This,19
320,deja vu,19
321,Let's Wait Awhile,17
322,Drift Away - Single Version,17
323,Gloria,2
324,No Other Love (with Henri René & His Orchestra and Chorus),7
325,Total Eclipse of the Heart,19
326,Thank The Lord For The Night Time,1
327,What Have I Done to Deserve This? (with Dusty Springfield) - 2018 Remaster,18
328,Counting Stars,17
329,Auf Wiederseh'n Sweetheart - 2017 Version,5
330,Blame It on the Rain,5
331,Girlfight - radio edit feat. Big Boi & Lil Jon,8
332,(I Love You) For Sentimental Reasons,10
333,Just My Imagination (Running Away With Me),10
334,All She Wants To Do Is Dance,1
335,We Don't Have To Take Our Clothes Off,17
336,After The Lovin',17
337,Fire and Rain - 2019 Remaster,1
338,Second Chance,19
339,Stereo Hearts (feat. Adam Levine),9
340,You’ve Lost That Lovin Feelin’,17
341,G.H.E.T.T.O.U.T.,0
342,It Ain't Me Babe (Stereo),11
343,Heaven,2
344,Singing the Blues,11
345,The Fly - 2016 Re-Recorded Version,9
346,The Little Shoemaker,17
347,Don’t Let Go (Love),5
348,Soul Finger,2
349,Because of You,7
350,Shower Me With Your Love,2
351,Ain't No Mountain High Enough (Originally Performed By Marvin Gaye & Tammi Terrell) [Karaoke Backing Track],5
352,Good Girl,5
353,Flower Shops (feat. Morgan Wallen),5
354,Pink Shoe Laces,5
355,I’ll Never Find Another You,7
356,Take A Bow,2
357,Love You Inside Out,10
358,Would I Lie to You? - Remastered Version,4
359,Ass Back Home (feat. Neon Hitch),9
360,Sign of the Times,5
361,Poetry In Motion - 1960 #2 Billboard chart hit,11
362,Diamonds and Pearls,12
363,In A Minute,9
364,Missing You,1
365,The Great Escape,2
366,You Got Lucky,18
367,No Air (feat. Chris Brown),19
368,Hold Me Now,10
369,Because Of You,10
370,I Like That,8
371,What a Girl Wants,2
372,Uh Huh,2
373,Lovesong - 2010 Remaster,2
374,('Till) I Kissed You,11
375,Said Sum,7
376,Up,5
377,I Take It Back,9
378,Daydream,1
379,Love Me,8
380,I’m a Mess (with YUNGBLUD),9
381,Blue Ridge Mountains,2
382,Coming Home,17
383,Nice & Slow - Radio Version,13
384,The Happiest Girl In The Whole U.S.A.,17
385,Moonglow and Theme from Picnic,2
386,More Today Than Yesterday,9
387,The Naughty Lady of Shady Lane,16
388,I'm The Only One,17
389,My First Kiss (feat. Ke$ha),19
390,Loyal (feat. Lil Wayne & Tyga),13
391,Back To Back,7
392,Be Careful,5
393,Never Keeping Secrets,7
394,Billie Jean,5
395,Take Good Care Of Her,2
396,Power of Love / Love Power,0
397,Closer to Free,12
398,Giving You The Benefit,17
399,Big Girls Don't Cry (Personal),12
400,Poison,4
401,Caramel,8
402,Pretend,10
403,Your Love Is,9
404,"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)",13
405,You Needed Me,18
406,It's Like That,4
407,The Motown Song (with The Temptations),2
408,What in the World's Come Over You - Remastered 1990,17
409,Smoke! Smoke! Smoke! (That Cigarette),10
410,Not Afraid,19
411,That's What Love Can Do - Radio Mix,2
412,Ransom,7
413,The Box,9
414,"For the Love of You, Pts. 1 & 2",16
415,Nice For What,19
416,Boogie Woogie Bugle Boy,11
417,He Loves You Not,7
418,I Keep Forgettin' (Every Time You're Near),6
419,Déjà Vu (Uptown Baby),19
420,Send For Me,17
421,The Horse,17
422,Good Luck Charm,19
423,Diana,11
424,Waiting On the World to Change,9
425,you broke me first,5
426,All I Have to Do Is Dream,18
427,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",2
428,Blueberry Hill,10
429,Battlefield,7
430,Take My Breath - Single Version,19
431,Need to Know,19
432,Kokomo,8
433,Just Like Jesse James,17
434,Drop It Like It's Hot,8
435,Only God Knows Why,12
436,When It's Over - David Kahne Main,2
437,Because - 2019 - Remaster,6
438,Paper Roses,10
439,Color Him Father,16
440,Down Yonder,5
441,Sha-La-La (Make Me Happy),6
442,Birthday Cake,7
443,Cherish,7
444,Dance Ballerina Dance,6
445,Cara Mia,6
446,Time After Time,12
447,"A Little Bit Me, a Little Bit You",4
448,24/7,12
449,"1,2,3 Red Light",6
450,Starboy,7
451,Love Somebody,17
452,Not Over You,9
453,Speed of Sound,2
454,Beauty And A Beat,5
455,Fireflies,17
456,So Gone,2
457,You And Me Against The World,17
458,Shortie Like Mine (feat. Chris Brown & Johntá Austin),13
459,If It Makes You Happy,17
460,If I Ain't Got You,9
461,Back in Blood (feat. Lil Durk),8
462,Sideshow,11
463,I Do (Cherish You),17
464,Sad Movies Make Me Cry,9
465,Kiss and Say Goodbye,1
466,LoveGame,17
467,People Are Crazy,17
468,I Wanna Dance with Somebody (Who Loves Me),2
469,Jesus Walks,5
470,Tiger,6
471,That's The Way I've Always Heard It Should Be,1
472,Goodbye Baby,2
473,Southern Nights,1
474,Swearin' to God - Single Version,5
475,A Million To One,5
476,Young Girl,1
477,Hello Walls,17
478,Turn the Beat Around,10
479,Why I Love You So Much,2
480,"Let Me Go, Lover",11
481,Cross Over The Bridge,6
482,On The Dark Side,0
483,Danny's Song,18
484,Love Hurts,10
485,Let's Go (feat. Ne-Yo),7
486,Bad Girls,17
487,Rock with You - Single Version,6
488,Monkey - Remastered,16
489,Because the Night - Live Unplugged,7
490,Dear One,9
491,I Want Her,5
492,The One That Got Away,17
493,Back for Good - Radio Mix,2
494,Thinkin' Bout It,7
495,"Love Me Like You Do - From ""Fifty Shades Of Grey""",9
496,Really Really,19
497,On The Street Where You Live,17
498,Feel like Makin' Love - 2015 Remaster,1
499,Bitter Sweet Symphony,7
500,Bridge Over Troubled Water,0
501,Macarena - Bayside Boys Remix,0
502,Rise,6
503,Slow Motion,17
504,American Kids,7
505,Case Of The Ex (Whatcha Gonna Do),17
506,Bent,0
507,We Don't Talk Anymore (feat. Selena Gomez),19
508,Hitchin' A Ride,7
509,You Might Think,1
510,If the World Was Ending (feat. Julia Michaels),19
511,The Story of Nanette: Nanette / Alabama Song / Drinkin' Again / Mr. Rockefeller / Do You Wanna Dance - Live,6
512,Rompe,17
513,I'll Dance at Your Wedding,17
