Song,Hot100 Rank,Hot100 Ranking Year,is_local,num_of_song_avaliable_markets
Auf Wiederseh'n Sweetheart - 2017 Version,5,2017,FALSE,184
Blame It on the Rain,46,2011,FALSE,185
Girlfight - radio edit feat. Big Boi & Lil Jon,85,2005,FALSE,184
(I Love You) For Sentimental Reasons,21,1954,FALSE,184
Just My Imagination (Running Away With Me),9,1971,FALSE,180
All She Wants To Do Is Dance,97,1985,FALSE,184
We Don't Have To Take Our Clothes Off,60,2011,FALSE,183
After The Lovin',61,2005,FALSE,3
Fire and Rain - 2019 Remaster,67,1970,FALSE,185
Second Chance,26,2009,FALSE,183
Stereo Hearts (feat. Adam Levine),36,2011,FALSE,106
Youâ€™ve Lost That Lovin Feelinâ€™,5,2008,FALSE,185
G.H.E.T.T.O.U.T.,31,1997,FALSE,184
It Ain't Me Babe (Stereo),73,1965,FALSE,182
Heaven,91,1998,FALSE,171
Singing the Blues,40,1956,FALSE,185
The Fly - 2016 Re-Recorded Version,70,2016,FALSE,185
The Little Shoemaker,15,1996,FALSE,184
Donâ€™t Let Go (Love),7,2023,FALSE,184
Soul Finger,67,1992,FALSE,183
Because of You,2,2006,FALSE,185
Shower Me With Your Love,75,1989,FALSE,185
Ain't No Mountain High Enough (Originally Performed By Marvin Gaye & Tammi Terrell) [Karaoke Backing Track],87,2013,FALSE,185
Good Girl,66,2012,FALSE,183
Flower Shops (feat. Morgan Wallen),96,2022,FALSE,185
Pink Shoe Laces,15,2013,FALSE,185
Iâ€™ll Never Find Another You,23,2019,FALSE,184
Take A Bow,12,2008,FALSE,184
Love You Inside Out,33,1979,FALSE,184
Would I Lie to You? - Remastered Version,70,1985,FALSE,185
Ass Back Home (feat. Neon Hitch),51,2012,FALSE,106
Sign of the Times,87,2017,FALSE,185
Poetry In Motion - 1960 #2 Billboard chart hit,87,1962,FALSE,0
Diamonds and Pearls,25,1992,FALSE,1
In A Minute,43,2022,FALSE,183
Missing You,11,1984,FALSE,184
The Great Escape,77,2007,FALSE,2
You Got Lucky,97,1983,FALSE,184
No Air (feat. Chris Brown),6,2013,FALSE,185
Hold Me Now,23,1984,FALSE,0
Because Of You,30,1960,FALSE,184
I Like That,52,2004,FALSE,184
What a Girl Wants,19,2000,FALSE,185
Uh Huh,90,2002,FALSE,185
Lovesong - 2010 Remaster,68,1989,FALSE,2
