Song,Hot100 Rank,Hot100 Ranking Year
More Today Than Yesterday,50,2010
The Naughty Lady of Shady Lane,27,1955
I'm The Only One,44,1995
My First Kiss (feat. Ke$ha),73,2010
Loyal (feat. Lil Wayne & Tyga),30,2014
Back To Back,99,2015
Be Careful,59,2018
Never Keeping Secrets,67,1994
Billie Jean,2,2008
Take Good Care Of Her,61,2005
Power of Love / Love Power,47,1991
Closer to Free,67,1996
Giving You The Benefit,65,1990
Big Girls Don't Cry (Personal),78,2008
Poison,91,1989
Caramel,72,2002
Pretend,13,1954
Your Love Is,53,2020
"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)",56,2008
You Needed Me,63,1978
It's Like That,69,2005
The Motown Song (with The Temptations),99,1991
What in the World's Come Over You - Remastered 1990,14,2011
Smoke! Smoke! Smoke! (That Cigarette),4,1960
Not Afraid,24,2010
That's What Love Can Do - Radio Mix,70,1993
Ransom,28,2019
The Box,3,2020
"For the Love of You, Pts. 1 & 2",81,2001
Nice For What,11,2018
Boogie Woogie Bugle Boy,71,1973
He Loves You Not,28,2022
I Keep Forgettin' (Every Time You're Near),81,1982
Déjà Vu (Uptown Baby),36,2019
Send For Me,40,1991
The Horse,21,2008
Good Luck Charm,20,2022
Diana,24,1966
Waiting On the World to Change,47,2007
you broke me first,37,2021
All I Have to Do Is Dream,2,1964
"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",20,1991
Blueberry Hill,48,1959
Battlefield,57,2009
Take My Breath - Single Version,89,2023
Need to Know,18,2022
Kokomo,42,2003
Just Like Jesse James,77,1990
Drop It Like It's Hot,23,2005
Only God Knows Why,67,2000
When It's Over - David Kahne Main,46,2001
Because - 2019 - Remaster,64,1964
Paper Roses,41,1974
Color Him Father,65,1969
Down Yonder,24,2009
Sha-La-La (Make Me Happy),82,1975
Birthday Cake,79,2012
Cherish,59,2009
Dance Ballerina Dance,10,1949
Cara Mia,24,1965
Time After Time,17,1984
"A Little Bit Me, a Little Bit You",60,2001
24-Jul,92,2000
"1,2,3 Red Light",48,1968
Starboy,58,2016
Love Somebody,51,2013
Not Over You,60,2012
Speed of Sound,57,2005
Beauty And A Beat,42,2013
Fireflies,60,2009
So Gone,39,2003
You And Me Against The World,57,1987
